Time,MAX,MIN,AVG
117.995,0.497006238,-0.170909911,0.098504186
118.0,0.469366223,-0.15572311,0.098807923
118.005,0.473922282,-0.131120473,0.099415392
118.01,0.463595271,-0.152382001,0.098807923
118.015,0.485464275,-0.164835185,0.098504186
118.02,0.518571496,-0.145699814,0.098504186
118.025,0.501865983,-0.152685732,0.099111661
118.03,0.495791286,-0.168783769,0.099415392
118.035,0.493968874,-0.153293207,0.099415392
118.04,0.487590402,-0.13689144,0.098807923
118.045,0.521001399,-0.127779365,0.098807923
118.05,0.55927217,-0.142662436,0.09789671
118.055,0.490931511,-0.178503335,0.09789671
118.06,0.466025144,-0.18336311,0.098504186
118.065,0.507029533,-0.144788593,0.098807923
118.07,0.475440949,-0.15086332,0.098504186
118.075,0.477870822,-0.153293207,0.099111661
118.08,0.473618567,-0.154204428,0.099111661
118.085,0.445978522,-0.180022016,0.099111661
118.09,0.525557399,-0.126564413,0.099111661
118.095,0.493665129,-0.140840024,0.099415392
118.1,0.548033893,-0.157849267,0.099111661
118.105,0.480908215,-0.155115619,0.09971913
118.11,0.473922282,-0.120185964,0.099111661
118.115,0.441726238,-0.139928818,0.098504186
118.12,0.485464275,-0.198853657,0.099111661
118.125,0.496398777,-0.123223327,0.099111661
118.13,0.464202732,-0.134461552,0.099111661
118.135,0.510674357,-0.135980248,0.098807923
118.14,0.517964005,-0.129905507,0.098504186
118.145,0.481819421,-0.184274316,0.098200448
118.15,0.454179436,-0.149344653,0.098504186
118.155,0.499739856,-0.123223327,0.098504186
118.16,0.458735466,-0.176377177,0.09789671
118.165,0.461165369,-0.15147078,0.098504186
118.17,0.487286657,-0.180933222,0.098807923
118.175,0.488501638,-0.13233541,0.098200448
118.18,0.502169728,-0.187615409,0.098504186
118.185,0.459039211,-0.181540683,0.098504186
118.19,0.511281848,-0.140536278,0.099415392
118.195,0.467240065,-0.160886616,0.099111661
118.2,0.475440949,-0.172732338,0.099111661
118.205,0.465113908,-0.13689144,0.099111661
118.21,0.474226028,-0.177895844,0.098504186
118.215,0.474833488,-0.148433432,0.098807923
118.22,0.496095031,-0.141143769,0.098200448
118.225,0.550767541,-0.156634316,0.099111661
118.23,0.465113908,-0.15997541,0.098807923
118.235,0.440207541,-0.146307275,0.098200448
118.24,0.486679196,-0.167568833,0.09789671
118.245,0.472403586,-0.162405297,0.09789671
118.25,0.514622927,-0.167265072,0.09789671
118.255,0.490020275,-0.157241777,0.09789671
118.26,0.473618567,-0.149040893,0.09789671
118.265,0.468151271,-0.189741567,0.098504186
118.27,0.49943611,-0.14691475,0.09789671
118.275,0.523734987,-0.134157822,0.09759298
118.28,0.486375481,-0.152078271,0.098200448
118.285,0.461772829,-0.161190346,0.098807923
118.29,0.459342957,-0.13294287,0.098504186
118.295,0.473011047,-0.17425102,0.099111661
118.3,0.515230417,-0.167568833,0.098504186
118.305,0.5404405,-0.130209252,0.098807923
118.31,0.502777219,-0.144788593,0.098807923
118.315,0.444763601,-0.147218481,0.098807923
118.32,0.500347316,-0.138410136,0.09789671
118.325,0.460557878,-0.145699814,0.098504186
118.33,0.456913054,-0.131424204,0.099415392
118.335,0.474226028,-0.152382001,0.098504186
118.34,0.484249324,-0.125045732,0.098807923
118.345,0.516141593,-0.138713866,0.098807923
118.35,0.495183825,-0.125349477,0.098504186
118.355,0.514319181,-0.194297627,0.098807923
118.36,0.506422043,-0.142358705,0.098504186
118.365,0.493057668,-0.135980248,0.098807923
118.37,0.503688395,-0.153596953,0.098504186
118.375,0.503080964,-0.145092323,0.098504186
118.38,0.504903376,-0.164835185,0.098807923
118.385,0.498221189,-0.202498481,0.099111661
118.39,0.47209987,-0.2201152,0.099111661
118.395,0.461165369,-0.139928818,0.098807923
118.4,0.462987751,-0.198853657,0.098807923
118.405,0.493361413,-0.142966166,0.100022867
118.41,0.510978103,-0.167872563,0.099111661
118.415,0.471188664,-0.16544266,0.099415392
118.42,0.479693264,-0.142966166,0.099415392
118.425,0.493968874,-0.180629477,0.098807923
118.43,0.459342957,-0.164227724,0.099111661
118.435,0.467543811,-0.143573657,0.098807923
118.44,0.470277429,-0.150255844,0.098807923
118.445,0.479996979,-0.170606181,0.099415392
118.45,0.477870822,-0.162101567,0.099111661
118.455,0.495183825,-0.162101567,0.098504186
118.46,0.500954807,-0.156330571,0.098504186
118.465,0.484249324,-0.139928818,0.098504186
118.47,0.472707331,-0.134157822,0.098807923
118.475,0.469366223,-0.159064204,0.098807923
118.48,0.489109099,-0.136587709,0.09971913
118.485,0.473922282,-0.141143769,0.098504186
118.49,0.487894177,-0.143573657,0.099111661
118.495,0.4766559,-0.13780266,0.099415392
118.5,0.454786897,-0.173339799,0.099111661
118.505,0.452660739,-0.15997541,0.100022867
118.51,0.464506447,-0.138713866,0.099415392
118.515,0.481819421,-0.139928818,0.098504186
118.52,0.470884919,-0.148737162,0.098200448
118.525,0.477870822,-0.157849267,0.099415392
118.53,0.47149241,-0.13233541,0.098807923
118.535,0.56777674,-0.126260683,0.099111661
118.54,0.475744724,-0.13780266,0.09971913
118.545,0.493361413,-0.135372773,0.099415392
118.55,0.466632605,-0.149040893,0.098200448
118.555,0.521305144,-0.158152997,0.098504186
118.56,0.477567106,-0.166961342,0.098504186
